"","color","pixel.value","lu.class"
"1","#ffffff",0,"0. Ausência de dados"
"2","#129912",1,"1. Floresta"
"3","#1f4423",2,"1.1. Floresta Natural"
"4","#006400",3,"1.1.1. Formação Florestal"
"5","#00ff00",4,"1.1.2. Formação Savânica"
"6","#687537",5,"1.1.3. Mangue"
"10","#935132",9,"1.2. Floresta Plantada"
"11","#bbfcac",10,"2. Formação Natural não Florestal"
"12","#45c2a5",11,"2.1. Área Úmida Natural não Florestal"
"13","#b8af4f",12,"2.2. Formação Campestre"
"33","#968c46",32,"2.3. Apicum"
"30","#b2ae7c",29,"2.4. Afloramento Rochoso"
"14","#f1c232",13,"2.5. Outra Formação não Florestal"
"15","#ffffb2",14,"3. Agropecuária"
"16","#ffd966",15,"3.1. Pastagem"
"19","#e974ed",18,"3.2. Agricultura"
"20","#d5a6bd",19,"3.2.1. Lavoura Temporária"
"40","#c59ff4",39,"3.2.1.1. Soja"
"21","#c27ba0",20,"3.2.1.2. Cana"
"41","#ba87f8",40,"3.2.1.3. Arroz"
"42","#e787f8",41,"3.2.1.4. Outros"
"43","#cca0d4",42,"3.2.2.1. Café"
"45","#cd49e4",44,"3.2.2.1. Caju"
"44","#d082de",43,"3.2.2.1. Citrus"
"46","#e04cfa",45,"3.2.2.1. Outros"
"37","#f3b4f1",36,"3.2.3. Lavoura Perene"
"22","#fff3bf",21,"3.3. Mosaico de Agricultura ou Pastagem"
"23","#ea9999",22,"4. Área não Vegetada"
"25","#aa0000",24,"4.1. Infraestrutura Urbana"
"31","#af2a2a",30,"4.2. Mineração"
"24","#dd7e6b",23,"4.3. Praia e Duna"
"26","#ff0000",25,"4.4. Outra Área não Vegetada"
"27","#0000ff",26,"5. Corpo D’água"
"34","#0000ff",33,"5.1. Corpo dágua Natura"
"38","#02106f",37,"5.2. Corpo dágua Artificial"
"39","#02106f",38,"5.2.1. Reservatórios"
"32","#8a2be2",31,"5.2.3. Aquicultura"
"35","#4fd3ff",34,"5.3. Glaciais"
"28","#d5d5e5",27,"6. Não Observado"
