color,pixel.value,lu.class
#ffffff,0,0. Ausência de dados
#129912,1,1. Floresta
#006400,3,1.1 Formação Florestal
#00ff00,4,1.2. Formação Savânica
#687537,5,1.3. Mangue
#6b9932,49,1.4. Restinga Arborizada (beta)
#bbfcac,10,2. Formação Natural não Florestal
#45c2a5,11,2.1. Campo Alagado e Área Pantanosa
#b8af4f,12,2.2. Formação Campestre
#968c46,32,2.3. Apicum
#665a3a,29,2.4. Afloramento Rochoso
#f1c232,13,2.5. Outras Formações não Florestais
#ffffb2,14,3. Agropecuária
#ffd966,15,3.1. Pastagem
#e974ed,18,3.2. Agricultura
#d5a6bd,19,3.2.1. Lavoura Temporária
#e075ad,39,3.2.1.1. Soja
#c27ba0,20,3.2.1.2. Cana
#982c9e,40,3.2.1.3. Arroz (beta)
#cd49e4,48,3.2.1.3. Outras Lavouras Perenes
#e787f8,41,3.2.1.4. Outras Lavouras Temporárias
#f3b4f1,36,3.2.2. Lavoura Perene
#cca0d4,46,3.2.2.1. Café (beta)
#d082de,47,3.2.2.2. Citrus (beta)
#ad4413,9,3.3. Silvicultura
#fff3bf,21,3.4. Mosaico de Agricultura e Pastagem
#ea9999,22,4. Área não Vegetada
#dd7e6b,23,"4.1. Praia, Duna e Areal"
#aa0000,24,4.2. Área Urbanizada
#af2a2a,30,4.3. Mineração
#ff3d3d,25,4.4. Outras Áreas não Vegetadas
#0000ff,26,5. Corpo D'água
#0000ff,33,"5.1. Rio, Lago e Oceano"
#02106f,31,5.2 Aquicultura
#D5D5E5,27,6. Não observado
